time,angle_cmd,angle_meas,q_cmd,q_meas,elavator
12.8074,-0.0484185,-0.0460796,-0.0116946,-0.0100538,-0.0272522
12.8094,-0.0490955,-0.0460998,-0.0149786,-0.0101105,-0.0434374
12.8114,-0.0478214,-0.0461203,-0.00850517,-0.0102798,-0.0102064
12.8134,-0.0479798,-0.0461408,-0.00919493,-0.0102142,-0.0139731
12.8154,-0.0478649,-0.0461611,-0.00851909,-0.0101758,-0.0107692
12.8174,-0.0486132,-0.0461814,-0.0121594,-0.0101155,-0.0292929
12.8194,-0.047813,-0.0462017,-0.00805646,-0.0101857,-0.00840578
12.8214,-0.0481401,-0.0462219,-0.00959074,-0.0101087,-0.0164568
12.8234,-0.0484119,-0.0462421,-0.0108488,-0.0100891,-0.0228526
12.8254,-0.0480177,-0.0462623,-0.00877688,-0.0101146,-0.0123524
12.8274,-0.0478147,-0.0462825,-0.00766091,-0.0100662,-0.00699051
12.8294,-0.0487746,-0.0463024,-0.0123608,-0.0099809,-0.0309404
12.8314,-0.0476828,-0.0463226,-0.006801,-0.0100644,-0.00269102
12.8334,-0.0486655,-0.0463425,-0.0116151,-0.00994905,-0.027355
12.8354,-0.0487354,-0.0463625,-0.0118647,-0.0100079,-0.0283272
12.8374,-0.0491944,-0.0463826,-0.0140589,-0.0100727,-0.0390139
12.8394,-0.0483884,-0.046403,-0.00992665,-0.0102115,-0.0176559
12.8414,-0.0491202,-0.0464234,-0.0134837,-0.010199,-0.035537
12.8434,-0.0487386,-0.0464441,-0.0114728,-0.0103117,-0.0249302
12.8454,-0.0486472,-0.0464648,-0.0109123,-0.0103488,-0.0219479
12.8474,-0.0478058,-0.0464855,-0.00660148,-0.0103644,-0.000278067
12.8494,-0.0483777,-0.046506,-0.00935862,-0.0102282,-0.0147363
12.8514,-0.0477303,-0.0465263,-0.00601966,-0.0101949,0.00183412
12.8534,-0.047992,-0.0465464,-0.00722798,-0.0100462,-0.00492313
12.8554,-0.0491881,-0.0465663,-0.013109,-0.00994669,-0.0348572
12.8574,-0.0490343,-0.0465864,-0.0122391,-0.0100581,-0.0299729
12.8594,-0.0477597,-0.0466067,-0.00576505,-0.0101338,0.0028197
12.8614,-0.0487551,-0.0466267,-0.010642,-0.00997891,-0.0223458
12.8634,-0.0484682,-0.0466467,-0.00910774,-0.0100023,-0.0145488
12.8654,-0.0494089,-0.0466666,-0.0137114,-0.00997076,-0.0377623
12.8674,-0.048239,-0.0466868,-0.00776079,-0.0101022,-0.00732871
12.8694,-0.0481969,-0.0467069,-0.00744998,-0.0100188,-0.00616599
12.8714,-0.0478501,-0.0467267,-0.00561686,-0.00992834,0.00259063
12.8734,-0.0491182,-0.0467463,-0.0118597,-0.00977782,-0.0293969
12.8754,-0.0485623,-0.046766,-0.00898162,-0.00985323,-0.0146208
12.8774,-0.0488872,-0.0467856,-0.0105078,-0.0098242,-0.0224036
12.8794,-0.0497945,-0.0468053,-0.0149459,-0.00985004,-0.044516
12.8814,-0.0480305,-0.0468254,-0.00602551,-0.0100303,0.00102744
12.8834,-0.0490718,-0.0468452,-0.0111333,-0.00988938,-0.0252287
12.8854,-0.0483475,-0.046865,-0.00741228,-0.00993413,-0.00637459
12.8874,-0.0493621,-0.0468847,-0.0123867,-0.00984629,-0.0317112
12.8894,-0.0481529,-0.0469046,-0.00624152,-0.00993699,-0.00049491
12.8914,-0.0488989,-0.0469242,-0.00987364,-0.00980796,-0.0193013
12.8934,-0.049006,-0.0469438,-0.0103108,-0.00981229,-0.0214704
12.8954,-0.0484749,-0.0469635,-0.00755681,-0.00983176,-0.00758039
12.8974,-0.0494361,-0.046983,-0.0122654,-0.00975373,-0.0315386
